from;to
FI075;FI082
FI075;FI084
FI075;FI086
FI075;FI087
FI075;FI093
FI075;FI094
FI075;FI096
FI075;FI097
FI075;FI099
FI075;FI100
FI075;FI103
FI075;FI123
FI075;FI127
FI075;FI136
FI075;FI142
FI076;FI011
FI076;FI021
FI076;FI033
FI076;FI037
FI076;FI079
FI076;FI080
FI076;FI087
FI076;FI093
FI076;FI096
FI076;FI099
FI076;FI102
FI076;FI106
FI076;FI111
FI076;FI137
FI077;FI001
FI077;FI003
FI077;FI008
FI077;FI009
FI077;FI010
FI077;FI018
FI077;FI020
FI077;FI023
FI077;FI026
FI077;FI027
FI077;FI029
FI077;FI033
FI077;FI035
FI077;FI037
FI077;FI038
FI077;FI040
FI077;FI053
FI077;FI056
FI077;FI058
FI077;FI061
FI077;FI064
FI077;FI065
FI077;FI067
FI077;FI071
FI077;FI072
FI077;FI074
FI077;FI078
FI077;FI079
FI077;FI085
FI077;FI086
FI077;FI087
FI077;FI090
FI077;FI091
FI077;FI095
FI077;FI096
FI077;FI099
FI077;FI100
FI077;FI101
FI077;FI122
FI077;FI126
FI077;FI130
FI077;FI136
FI077;FI137
FI077;FI138
FI077;FI142
FI078;FI001
FI078;FI006
FI078;FI018
FI078;FI020
FI078;FI022
FI078;FI032
FI078;FI054
FI078;FI065
FI078;FI070
FI078;FI072
FI078;FI083
FI078;FI089
FI078;FI093
FI078;FI099
FI078;FI102
FI078;FI119
FI078;FI137
FI078;FI141
FI079;FI002
FI079;FI008
FI079;FI011
FI079;FI012
FI079;FI015
FI079;FI016
FI079;FI017
FI079;FI020
FI079;FI023
FI079;FI025
FI079;FI027
FI079;FI032
FI079;FI033
FI079;FI037
FI079;FI038
FI079;FI040
FI079;FI041
FI079;FI043
FI079;FI048
FI079;FI050
FI079;FI051
FI079;FI055
FI079;FI056
FI079;FI057
FI079;FI058
FI079;FI061
FI079;FI062
FI079;FI063
FI079;FI064
FI079;FI065
FI079;FI066
FI079;FI067
FI079;FI068
FI079;FI070
FI079;FI071
FI079;FI074
FI079;FI075
FI079;FI077
FI079;FI079
FI079;FI080
FI079;FI082
FI079;FI084
FI079;FI085
FI079;FI086
FI079;FI087
FI079;FI088
FI079;FI091
FI079;FI094
FI079;FI095
FI079;FI096
FI079;FI099
FI079;FI103
FI079;FI123
FI079;FI013
FI079;FI127
FI079;FI130
FI079;FI132
FI079;FI138
FI079;FI142
FI080;FI008
FI080;FI016
FI080;FI018
FI080;FI020
FI080;FI021
FI080;FI022
FI080;FI026
FI080;FI033
FI080;FI037
FI080;FI065
FI080;FI079
FI080;FI081
FI080;FI086
FI080;FI087
FI080;FI095
FI080;FI096
FI080;FI099
FI080;FI104
FI080;FI106
FI080;FI107
FI080;FI108
FI080;FI118
FI080;FI126
FI080;FI127
FI080;FI142
FI081;FI002
FI081;FI006
FI081;FI008
FI081;FI009
FI081;FI018
FI081;FI020
FI081;FI021
FI081;FI022
FI081;FI065
FI081;FI070
FI081;FI072
FI081;FI078
FI081;FI080
FI081;FI085
FI081;FI086
FI081;FI093
FI081;FI096
FI081;FI099
FI081;FI102
FI081;FI106
FI081;FI126
FI082;FI001
FI082;FI002
FI082;FI009
FI082;FI010
FI082;FI011
FI082;FI018
FI082;FI021
FI082;FI023
FI082;FI027
FI082;FI032
